z,rho
230.2,0.91924768
230.4,0.91925211
230.6,0.91925651
230.8,0.91926088
231,0.91926523
231.2,0.91926955
231.4,0.91927385
231.6,0.91927812
231.8,0.91928237
232,0.91928659
232.2,0.91929078
232.4,0.91929496
232.6,0.9192991
232.8,0.91930323
233,0.91930733
233.2,0.9193114
233.4,0.91931545
233.6,0.91931948
233.8,0.91932348
234,0.91932746
234.2,0.91933142
234.4,0.91933535
234.6,0.91933926
234.8,0.91934315
235,0.91934701
235.2,0.91935085
235.4,0.91935467
235.6,0.91935847
235.8,0.91936224
236,0.91936599
236.2,0.91936972
236.4,0.91937343
236.6,0.91937712
236.8,0.91938078
237,0.91938442
237.2,0.91938804
237.4,0.91939164
237.6,0.91939522
237.8,0.91939878
238,0.91940232
238.2,0.91940583
238.4,0.91940933
238.6,0.9194128
238.8,0.91941626
239,0.91941969
239.2,0.9194231
239.4,0.9194265
239.6,0.91942987
239.8,0.91943323
240,0.91943656
240.2,0.91943987
240.4,0.91944317
240.6,0.91944645
240.8,0.9194497
241,0.91945294
241.2,0.91945616
241.4,0.91945936
241.6,0.91946254
241.8,0.9194657
242,0.91946884
242.2,0.91947197
242.4,0.91947507
242.6,0.91947816
242.8,0.91948123
243,0.91948428
243.2,0.91948732
243.4,0.91949033
243.6,0.91949333
243.8,0.91949631
244,0.91949927
244.2,0.91950222
244.4,0.91950515
244.6,0.91950806
244.8,0.91951095
245,0.91951383
245.2,0.91951669
245.4,0.91951953
245.6,0.91952236
245.8,0.91952517
246,0.91952796
246.2,0.91953074
246.4,0.9195335
246.6,0.91953624
246.8,0.91953897
247,0.91954168
247.2,0.91954438
247.4,0.91954706
247.6,0.91954972
247.8,0.91955237
248,0.91955501
248.2,0.91955762
248.4,0.91956023
248.6,0.91956281
248.8,0.91956539
249,0.91956794
249.2,0.91957048
249.4,0.91957301
249.6,0.91957552
249.8,0.91957802
250,0.9195805
250.2,0.91958297
250.4,0.91958542
250.6,0.91958786
250.8,0.91959029
251,0.9195927
251.2,0.91959509
251.4,0.91959747
251.6,0.91959984
251.8,0.9196022
252,0.91960454
252.2,0.91960686
252.4,0.91960917
252.6,0.91961147
252.8,0.91961376
253,0.91961603
253.2,0.91961829
253.4,0.91962054
253.6,0.91962277
253.8,0.91962499
254,0.91962719
254.2,0.91962939
254.4,0.91963157
254.6,0.91963373
254.8,0.91963589
255,0.91963803
255.2,0.91964016
255.4,0.91964228
255.6,0.91964438
255.8,0.91964647
256,0.91964855
256.2,0.91965062
256.4,0.91965268
256.6,0.91965472
256.8,0.91965675
257,0.91965877
257.2,0.91966078
257.4,0.91966277
257.6,0.91966476
257.8,0.91966673
258,0.91966869
258.2,0.91967064
258.4,0.91967257
258.6,0.9196745
258.8,0.91967642
259,0.91967832
259.2,0.91968021
259.4,0.91968209
259.6,0.91968396
259.8,0.91968582
260,0.91968767
260.2,0.91968951
260.4,0.91969133
260.6,0.91969315
260.8,0.91969495
261,0.91969675
261.2,0.91969853
261.4,0.91970031
261.6,0.91970207
261.8,0.91970382
262,0.91970556
262.2,0.9197073
262.4,0.91970902
262.6,0.91971073
262.8,0.91971243
263,0.91971412
263.2,0.91971581
263.4,0.91971748
263.6,0.91971914
263.8,0.91972079
264,0.91972243
264.2,0.91972407
264.4,0.91972569
264.6,0.9197273
264.8,0.91972891
265,0.9197305
265.2,0.91973209
265.4,0.91973366
265.6,0.91973523
265.8,0.91973679
266,0.91973834
266.2,0.91973988
266.4,0.91974141
266.6,0.91974293
266.8,0.91974444
267,0.91974594
267.2,0.91974744
267.4,0.91974892
267.6,0.9197504
267.8,0.91975187
268,0.91975333
268.2,0.91975478
268.4,0.91975622
268.6,0.91975766
268.8,0.91975908
269,0.9197605
269.2,0.91976191
269.4,0.91976331
269.6,0.9197647
269.8,0.91976608
270,0.91976746
270.2,0.91976883
270.4,0.91977019
270.6,0.91977154
270.8,0.91977288
271,0.91977422
271.2,0.91977555
271.4,0.91977687
271.6,0.91977818
271.8,0.91977949
272,0.91978078
272.2,0.91978207
272.4,0.91978335
272.6,0.91978463
272.8,0.9197859
273,0.91978716
273.2,0.91978841
273.4,0.91978965
273.6,0.91979089
273.8,0.91979212
274,0.91979334
274.2,0.91979456
274.4,0.91979577
274.6,0.91979697
274.8,0.91979816
275,0.91979935
275.2,0.91980053
275.4,0.9198017
275.6,0.91980287
275.8,0.91980403
276,0.91980518
276.2,0.91980633
276.4,0.91980747
276.6,0.9198086
276.8,0.91980973
277,0.91981085
277.2,0.91981196
277.4,0.91981307
277.6,0.91981416
277.8,0.91981526
278,0.91981634
278.2,0.91981743
278.4,0.9198185
278.6,0.91981957
278.8,0.91982063
279,0.91982168
